name,url,date,wins,cluster
Johnny Compo,http://boxrec.com/boxer/23304,1979-12-14,7,0
Johnny Compo,http://boxrec.com/boxer/23304,1980-01-13,8,0
Dave Williams,http://boxrec.com/boxer/154826,1980-01-26,12,2
Kenny Klingman,http://boxrec.com/boxer/97575,1980-02-05,17,2
Johnny Compo,http://boxrec.com/boxer/23304,1980-02-10,9,2
Kenny Klingman,http://boxrec.com/boxer/97575,1980-03-11,18,1
Johnny Compo,http://boxrec.com/boxer/23304,1980-03-17,10,2
Romain Mianzula,http://boxrec.com/boxer/92826,1980-03-30,1,0
Dave Williams,http://boxrec.com/boxer/154826,1980-04-05,13,2
Dave Williams,http://boxrec.com/boxer/154826,1980-05-03,14,2
Romain Mianzula,http://boxrec.com/boxer/92826,1980-05-03,2,0
John Lee,http://boxrec.com/boxer/35611,1980-07-01,14,2
John Lee,http://boxrec.com/boxer/35611,1980-07-26,15,2
Jimmy Connelly,http://boxrec.com/boxer/63403,1980-09-05,5,0
Johnny Compo,http://boxrec.com/boxer/23304,1980-09-23,11,2
Dave Williams,http://boxrec.com/boxer/154826,1980-09-27,15,2
Johnny Compo,http://boxrec.com/boxer/23304,1980-10-17,12,2
Kenny Klingman,http://boxrec.com/boxer/97575,1980-10-17,19,1
Dave Williams,http://boxrec.com/boxer/154826,1980-10-25,16,2
Chul Kwon,http://boxrec.com/boxer/170370,1980-11-03,1,0
Gaetano Ardito,http://boxrec.com/boxer/89096,1980-11-07,1,0
Jimmy Connelly,http://boxrec.com/boxer/63403,1980-11-14,6,0
Dave Williams,http://boxrec.com/boxer/154826,1980-11-21,17,2
Johnny Compo,http://boxrec.com/boxer/23304,1980-11-25,13,2
Jimmy Connelly,http://boxrec.com/boxer/63403,1980-12-17,7,0
Gaetano Ardito,http://boxrec.com/boxer/89096,1980-12-26,2,0
Dave Williams,http://boxrec.com/boxer/154826,1981-02-14,18,1
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-02-19,3,0
Jimmy Connelly,http://boxrec.com/boxer/63403,1981-03-06,8,0
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-03-06,4,0
Johnny Compo,http://boxrec.com/boxer/23304,1981-03-26,14,2
Kenny Klingman,http://boxrec.com/boxer/97575,1981-04-08,20,1
Marvin Shuler,http://boxrec.com/boxer/40086,1981-04-11,1,0
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-04-17,5,0
Dave Williams,http://boxrec.com/boxer/154826,1981-05-02,19,1
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-05-15,6,0
Chul Kwon,http://boxrec.com/boxer/170370,1981-05-17,2,0
Jimmy Connelly,http://boxrec.com/boxer/63403,1981-05-19,9,2
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-05-28,7,0
Chul Kwon,http://boxrec.com/boxer/170370,1981-06-03,3,0
Chul Kwon,http://boxrec.com/boxer/170370,1981-06-07,4,0
Marvin Shuler,http://boxrec.com/boxer/40086,1981-06-17,2,0
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-06-19,8,0
Chul Kwon,http://boxrec.com/boxer/170370,1981-06-21,5,0
Chul Kwon,http://boxrec.com/boxer/170370,1981-06-28,6,0
Marvin Shuler,http://boxrec.com/boxer/40086,1981-07-18,3,0
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-07-24,9,2
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-08-09,10,2
Marvin Shuler,http://boxrec.com/boxer/40086,1981-08-22,4,0
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-08-29,11,2
Chul Kwon,http://boxrec.com/boxer/170370,1981-09-06,7,0
Jimmy Connelly,http://boxrec.com/boxer/63403,1981-09-18,10,2
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-09-19,12,2
Chul Kwon,http://boxrec.com/boxer/170370,1981-10-11,8,0
Terry Marsh,http://boxrec.com/boxer/31401,1981-10-12,1,0
Terry Marsh,http://boxrec.com/boxer/31401,1981-10-28,2,0
Marvin Shuler,http://boxrec.com/boxer/40086,1981-11-07,5,0
Chul Kwon,http://boxrec.com/boxer/170370,1981-11-18,9,2
